"ITEM","VEND","PRICE","QTY","TTL","DESC","LINK","NOTES"
"RP2354B","LCSC","1.5667","5","7.8335","MCU","C39843328","MCU"
"4.7uF","LCSC","0.107","10","1.07","POWER","C69335","C6/7/9/10"
"3.3uH","LCSC","0.2828","5","1.414","MCU LDO","C42411119","L1"
"33o","LCSC","0.0022","100","0.22","POWER","C108407","R3"
"5.1Ko","LCSC","0.0029","100","0.29","POWER","C2907044","XR1/2"
"10uF","LCSC","0.0849","20","1.698","POWER","C85713","C1/5"
"NCP1117","LCSC","0.2356","5","1.178","POWER","C26537","U2 LDO"
"USBC16","LCSC","0.0744","20","1.488","POWER","C2765186","J1"
"0.1uF","LCSC","0.0213","100","2.13","POWER","C1591","C8/11/12-21"
"12MHz C","LCSC","0.2945","5","1.4725","POWER","C20625731","Y1"
"1K","LCSC","0.0057","100","0.57","POWER","C2907002","R4/6/9"
"15pF","LCSC","0.0057","100","0.57","CRYSTAL","C107037","C3/4"
"27","LCSC","0.0036","100","0.36","POWER","C25190","R7/8"
"3pin JST","LCSC","0.045","10","0.45","DEBUG","C2763613","J4"
"Pushbutton","LCSC","0.0312","20","0.624","RUN/BTSL","C52092028","SW1/2"
"2x26 Header","LCSC","0.2599","10","2.599","BREAKOUT","C7430422","J2/3"
"1x4 Header","LCSC","0.0283","20","0.566","DEBUG","C52016392","H1/2"
"BLUE LED","LCSC","0.0043","100","0.43","ALWAYS ON","C965807","LED1"
"GREEN LED","LCSC","0.005","100","0.5","GP39","C965804","LED2"
"220o","LCSC","0.0025","100","0.25","LEDs","C2907127","XR3/4"
"PCB","JLCPCB","2","1","2","(5x min)","jlcpcb.com","Standard"
"Stencil","JLCPCB","3.07","1","3.07","SMD","jlcpcb.com","Standard"
"Shipping","JLCPCB","10.86","1","10.86","GDSL","jlcpcb.com","Standard"
"Shipping","LCSC","12.84","1","12.84","GDSL","lcsc.com","Standard"